lr-SGD,step,val_loss,val_acc,val_f1,val_auroc,epoch,train_loss,train_acc,train_f1,train_auroc,train_lr
0.1,0,,,,,,,,,,
,1093,0.663418173789978,0.5941662192344666,0.4405287206172943,0.5933919548988342,0,,,,,
,1093,,,,,0,0.7107332944869995,0.5777179598808289,0.5589622855186462,0.5785573124885559,0.10000329464673996
0.1,1094,,,,,,,,,,
,2187,0.6370803713798523,0.6215515732765198,0.6079534292221069,0.6214622259140015,1,,,,,
,2187,,,,,1,0.6469920873641968,0.6098843812942505,0.5914902687072754,0.6110639572143555,0.10000329464673996
0.1,2188,,,,,,,,,,
,3281,0.6445457339286804,0.6065329909324646,0.6549017429351807,0.6069371104240417,2,,,,,
,3281,,,,,2,0.6329924464225769,0.626273512840271,0.6070371866226196,0.6277182102203369,0.10000329464673996
0.1,3282,,,,,,,,,,
,4375,0.624907910823822,0.635309636592865,0.6004666090011597,0.6351858377456665,3,,,,,
,4375,,,,,3,0.6271771788597107,0.632733941078186,0.6133241653442383,0.6343085765838623,0.10000329464673996
0.1,4376,,,,,,,,,,
,5469,0.6432632207870483,0.6094820499420166,0.6581097841262817,0.6099129319190979,4,,,,,
,5469,,,,,4,0.6238006949424744,0.6363045573234558,0.6167212128639221,0.6378957629203796,0.10000329464673996
0.1,5470,,,,,,,,,,
,6563,0.6290183067321777,0.6248335242271423,0.6451529264450073,0.6250045895576477,5,,,,,
,6563,,,,,5,0.6213358044624329,0.6391967535018921,0.619287371635437,0.6408003568649292,0.10000329464673996
0.1,6564,,,,,,,,,,
,7657,0.6204999089241028,0.6359279751777649,0.6315123438835144,0.6359973549842834,6,,,,,
,7657,,,,,6,0.6191458106040955,0.6415271759033203,0.6212910413742065,0.6431627869606018,0.10000329464673996
0.1,7658,,,,,,,,,,
,8751,0.6170047521591187,0.6444301605224609,0.6080934405326843,0.6442908644676208,7,,,,,
,8751,,,,,7,0.6171290278434753,0.6433600783348083,0.6228394508361816,0.6450698375701904,0.10000329464673996
0.1,8752,,,,,,,,,,
,9845,0.6136409640312195,0.6484732031822205,0.6015183925628662,0.6483148336410522,8,,,,,
,9845,,,,,8,0.6152679324150085,0.6451215744018555,0.6241401433944702,0.6468542218208313,0.10000329464673996
0.1,9846,,,,,,,,,,
,10939,0.6128347516059875,0.6429080963134766,0.637656033039093,0.642936646938324,9,,,,,
,10939,,,,,9,0.6134591698646545,0.6472544074058533,0.6258302927017212,0.6490667462348938,0.10000329464673996
0.010000000000000002,10940,,,,,,,,,,
,12033,0.6076907515525818,0.6432648301124573,0.6530129909515381,0.643437922000885,10,,,,,
,12033,,,,,10,0.6054338216781616,0.6546694040298462,0.6323766112327576,0.656682550907135,0.010000152513384819
0.010000000000000002,12034,,,,,,,,,,
,13127,0.6073302030563354,0.6433361768722534,0.6532836556434631,0.6434994339942932,11,,,,,
